current_job_title,target_job_title,skills,education_level,years_of_experience,portfolio_strength,estimated_salary_usd,certifications,language_proficiency,remote_work_preference,projects_completed,communication_skills_rating
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,5,High,80886,DataCamp Track,"English, Spanish",Remote,10,2
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,High,88998,Microsoft Azure,"English, Spanish",Onsite,13,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,3,High,66676,Google Data Analytics,"English, French",Remote,5,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,2,Medium,75988,AWS Certified,"English, French",Remote,1,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,6,Medium,66954,Certified UX Designer,"English, German",Hybrid,11,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,6,High,70986,AWS Certified,"English, French",Hybrid,10,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,6,High,71006,DataCamp Track,English,Onsite,10,2
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,1,High,87980,Certified UX Designer,"English, Hindi",Remote,8,3
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,3,Low,80828,AWS Certified,"English, French",Remote,5,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,2,Low,71194,Certified UX Designer,"English, Hindi",Remote,7,2
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,High,90389,Certified UX Designer,English,Hybrid,1,2
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,3,High,54077,Google Data Analytics,"English, German",Hybrid,5,2
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,5,High,85185,Certified UX Designer,"English, German",Onsite,11,3
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,Medium,88778,DataCamp Track,"English, French",Remote,9,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,Low,81000,DataCamp Track,English,Onsite,7,3
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,Low,74807,DataCamp Track,English,Onsite,6,2
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,3,Medium,84430,AWS Certified,"English, German",Onsite,11,3
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,2,High,74511,Microsoft Azure,"English, Spanish",Onsite,11,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,6,Low,99524,Google Data Analytics,English,Remote,2,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,4,Medium,69702,DataCamp Track,"English, Spanish",Remote,11,3
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,5,Medium,81652,Google Data Analytics,"English, Hindi",Hybrid,8,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,2,Medium,68471,AWS Certified,"English, German",Onsite,11,2
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,High,92502,Microsoft Azure,"English, Spanish",Onsite,10,4
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,1,High,69436,DataCamp Track,"English, German",Remote,12,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,6,Medium,68630,Google Data Analytics,"English, German",Hybrid,5,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,4,Low,97176,PMP,"English, Hindi",Onsite,6,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,Medium,92319,Certified UX Designer,English,Hybrid,4,2
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,5,High,63365,Certified UX Designer,"English, Spanish",Onsite,5,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,3,Medium,68229,Google Data Analytics,"English, German",Hybrid,1,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,Medium,84999,Certified UX Designer,"English, German",Remote,7,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,2,Low,90344,Microsoft Azure,"English, Spanish",Onsite,9,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,5,Low,78654,None,English,Hybrid,8,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,5,Medium,98405,Google Data Analytics,English,Onsite,10,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,6,High,76046,Scrum Master,"English, Hindi",Hybrid,4,3
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,3,Low,53223,Certified UX Designer,"English, Spanish",Onsite,9,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,5,Medium,94167,Microsoft Azure,"English, Hindi",Remote,1,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,Medium,85875,None,English,Hybrid,9,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,5,Medium,85867,Microsoft Azure,"English, Spanish",Onsite,10,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,8,High,98715,Certified UX Designer,"English, Hindi",Hybrid,7,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,5,Medium,104124,None,"English, German",Hybrid,10,3
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,6,Medium,66842,Google Data Analytics,"English, German",Hybrid,4,2
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,4,Medium,57769,Scrum Master,English,Remote,5,4
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,1,Low,74727,AWS Certified,"English, French",Remote,6,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,5,Low,82444,Microsoft Azure,"English, Spanish",Onsite,9,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,6,Low,52723,Certified UX Designer,"English, Spanish",Onsite,6,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,6,Medium,92062,Google Data Analytics,English,Remote,4,4
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,2,Medium,76042,None,"English, German",Remote,6,3
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,5,Low,94379,Google Data Analytics,"English, Hindi",Hybrid,7,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,5,High,68593,DataCamp Track,"English, Spanish",Remote,13,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,3,Low,58555,PMP,"English, French",Onsite,2,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,6,High,98747,Google Data Analytics,English,Remote,1,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,6,High,64646,PMP,"English, Hindi",Remote,6,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,1,Low,76740,DataCamp Track,"English, German",Remote,10,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,4,High,78687,Certified UX Designer,"English, German",Hybrid,12,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,1,Low,80014,DataCamp Track,"English, German",Remote,9,3
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,2,Low,78651,Microsoft Azure,"English, Spanish",Onsite,11,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,2,Medium,79456,Certified UX Designer,"English, German",Onsite,12,3
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,Medium,80420,Certified UX Designer,"English, Hindi",Remote,9,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,5,Low,64865,Google Data Analytics,"English, French",Remote,4,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,3,Low,61721,Scrum Master,English,Remote,6,3
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,5,High,60383,Microsoft Azure,"English, Spanish",Hybrid,4,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,Medium,73945,Scrum Master,"English, Hindi",Hybrid,8,3
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,Medium,88725,PMP,"English, Hindi",Onsite,3,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,1,Medium,83839,DataCamp Track,"English, German",Remote,13,3
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,1,Medium,79302,Certified UX Designer,"English, Hindi",Remote,8,2
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,4,Low,53819,Google Data Analytics,"English, Spanish",Hybrid,8,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,6,High,83036,AWS Certified,"English, Spanish",Onsite,4,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,5,High,68586,Scrum Master,"English, Hindi",Hybrid,7,3
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,4,Low,80214,Certified UX Designer,"English, Hindi",Remote,7,3
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,5,Medium,79592,DataCamp Track,"English, Spanish",Remote,10,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,6,Low,92904,Google Data Analytics,"English, German",Onsite,10,3
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,1,Low,73460,Scrum Master,"English, French",Remote,7,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,3,Medium,81480,AWS Certified,"English, German",Onsite,9,2
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,Medium,81660,Certified UX Designer,"English, Hindi",Remote,10,3
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,2,High,77470,AWS Certified,"English, German",Onsite,8,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,5,Medium,102220,None,English,Onsite,5,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,2,Low,80518,Google Data Analytics,"English, Hindi",Hybrid,9,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,6,High,77610,Certified UX Designer,"English, German",Remote,6,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,5,Medium,87037,Google Data Analytics,English,Remote,4,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,5,Low,74308,Certified UX Designer,"English, German",Hybrid,11,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,3,Medium,69509,Certified UX Designer,"English, Hindi",Remote,8,2
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,4,Medium,79003,AWS Certified,"English, Spanish",Onsite,8,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,5,High,69193,Google Data Analytics,"English, Spanish",Remote,1,2
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,5,High,60226,Microsoft Azure,"English, Spanish",Hybrid,1,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,5,High,68263,DataCamp Track,"English, Spanish",Remote,11,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,4,Medium,67263,Microsoft Azure,"English, Spanish",Hybrid,3,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,4,High,63610,Scrum Master,English,Remote,4,3
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,4,Medium,89735,Certified UX Designer,English,Hybrid,4,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,4,Low,74384,PMP,"English, Hindi",Remote,7,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,6,Low,62317,AWS Certified,"English, French",Hybrid,11,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,7,Low,106626,Google Data Analytics,"English, French",Hybrid,6,3
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,4,Medium,95183,Google Data Analytics,"English, Hindi",Hybrid,9,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,5,Low,65050,Google Data Analytics,"English, Spanish",Remote,1,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,Low,77137,Microsoft Azure,"English, Spanish",Onsite,12,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,6,High,74796,Certified UX Designer,"English, German",Hybrid,10,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,5,Medium,81900,Microsoft Azure,"English, Spanish",Onsite,13,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,5,High,62730,Scrum Master,English,Remote,6,3
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,2,Low,86584,Google Data Analytics,"English, Hindi",Hybrid,10,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,3,Low,74713,AWS Certified,"English, German",Onsite,9,4
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,3,High,83852,PMP,"English, French",Onsite,8,3
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,2,Medium,92618,DataCamp Track,"English, French",Remote,7,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,4,Medium,81451,Certified UX Designer,"English, German",Hybrid,12,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,6,High,53981,Google Data Analytics,"English, Spanish",Remote,4,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,6,High,80313,DataCamp Track,"English, Spanish",Remote,10,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,5,Low,75767,Scrum Master,"English, Hindi",Hybrid,6,3
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,4,Low,76497,AWS Certified,"English, Spanish",Onsite,6,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,Low,94439,AWS Certified,"English, Spanish",Hybrid,4,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,5,High,68419,AWS Certified,"English, French",Hybrid,13,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,6,High,100838,DataCamp Track,"English, Spanish",Onsite,12,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,3,High,56997,Microsoft Azure,"English, Spanish",Hybrid,2,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,5,Medium,76927,DataCamp Track,"English, Spanish",Remote,11,3
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,4,Medium,74532,Certified UX Designer,"English, German",Hybrid,11,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,3,High,70444,Scrum Master,"English, French",Hybrid,6,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,5,Low,91060,DataCamp Track,"English, French",Remote,8,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,5,Medium,96280,Google Data Analytics,English,Remote,1,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,Low,84951,Certified UX Designer,"English, German",Onsite,10,2
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,7,Medium,90221,Microsoft Azure,"English, Hindi",Remote,2,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,5,High,85011,Google Data Analytics,"English, French",Onsite,4,2
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,6,Low,94613,None,English,Onsite,5,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,6,Medium,73992,DataCamp Track,English,Onsite,7,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,5,Medium,91578,DataCamp Track,"English, Spanish",Onsite,9,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,5,Low,83574,Certified UX Designer,English,Hybrid,6,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,4,Medium,54724,AWS Certified,"English, French",Hybrid,10,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,Medium,74225,DataCamp Track,English,Onsite,6,2
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,4,High,85991,Certified UX Designer,"English, Spanish",Hybrid,2,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,1,Low,71450,Scrum Master,"English, French",Hybrid,5,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,Low,88389,Google Data Analytics,"English, French",Onsite,5,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,6,High,102880,Google Data Analytics,English,Onsite,8,2
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,1,Medium,87357,AWS Certified,"English, German",Onsite,6,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,2,Low,81740,Google Data Analytics,"English, Hindi",Hybrid,11,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,5,Low,83750,Microsoft Azure,"English, Spanish",Onsite,9,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,5,High,106228,Google Data Analytics,"English, German",Onsite,12,3
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,High,82045,Scrum Master,"English, Hindi",Hybrid,6,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,Low,87576,PMP,"English, Hindi",Onsite,4,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,4,Low,85114,DataCamp Track,"English, French",Remote,8,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,4,Medium,62329,Google Data Analytics,"English, Spanish",Hybrid,10,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,Medium,73154,Google Data Analytics,"English, French",Onsite,7,2
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,5,Medium,80722,Certified UX Designer,English,Hybrid,2,2
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,5,Low,83000,Google Data Analytics,"English, French",Hybrid,8,3
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,4,Medium,64229,PMP,"English, Hindi",Remote,3,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,4,Low,83194,Certified UX Designer,"English, Spanish",Hybrid,2,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,4,Low,90297,Google Data Analytics,"English, Hindi",Hybrid,9,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,5,Low,90176,Microsoft Azure,"English, Spanish",Onsite,12,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,4,High,65024,Google Data Analytics,"English, German",Hybrid,4,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,High,92652,PMP,"English, Hindi",Onsite,6,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,5,Low,93340,Google Data Analytics,English,Onsite,9,3
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,4,Medium,78308,AWS Certified,"English, German",Onsite,9,2
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,5,Medium,81996,Google Data Analytics,"English, French",Hybrid,7,2
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,5,Low,85074,Certified UX Designer,"English, German",Onsite,12,2
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,6,High,79047,AWS Certified,"English, German",Remote,8,2
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,6,Low,60568,Google Data Analytics,"English, German",Hybrid,2,2
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,4,High,77698,AWS Certified,"English, German",Onsite,12,3
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,6,Low,68159,Certified UX Designer,"English, Hindi",Remote,9,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,Low,93345,PMP,"English, Hindi",Onsite,4,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,4,Medium,82696,AWS Certified,"English, Spanish",Onsite,5,3
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,1,Medium,76665,AWS Certified,"English, German",Onsite,9,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,5,Medium,77163,Certified UX Designer,"English, German",Remote,7,3
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,6,Medium,66138,DataCamp Track,English,Onsite,8,3
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,7,Medium,90592,Certified UX Designer,"English, Hindi",Hybrid,3,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,5,Medium,65993,Google Data Analytics,"English, German",Hybrid,1,2
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,High,67832,None,English,Hybrid,9,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,8,High,108657,Google Data Analytics,"English, French",Hybrid,5,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,5,Medium,71462,Certified UX Designer,"English, German",Hybrid,8,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,Low,80863,Certified UX Designer,"English, German",Hybrid,8,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,Medium,71109,AWS Certified,"English, German",Remote,7,2
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,4,Medium,76196,Google Data Analytics,"English, Hindi",Hybrid,8,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,4,Medium,80597,Microsoft Azure,"English, Spanish",Onsite,9,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,Medium,64826,None,English,Hybrid,5,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,3,High,64526,Certified UX Designer,"English, Spanish",Onsite,5,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,Low,96914,Certified UX Designer,English,Hybrid,6,3
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,4,Medium,57697,Scrum Master,English,Remote,4,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,6,Low,85260,Certified UX Designer,"English, German",Hybrid,11,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,1,Low,70944,PMP,"English, French",Onsite,10,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,Low,80168,Certified UX Designer,"English, German",Remote,7,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,5,Low,58374,PMP,"English, French",Onsite,2,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,3,High,86292,AWS Certified,"English, German",Onsite,10,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,5,Medium,66641,Google Data Analytics,"English, Spanish",Hybrid,8,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,High,84467,Microsoft Azure,"English, Spanish",Onsite,11,4
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,3,High,70686,Certified UX Designer,"English, Hindi",Remote,4,3
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,2,Medium,76368,Certified UX Designer,English,Hybrid,2,2
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,6,Low,99045,Google Data Analytics,English,Onsite,7,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,6,High,77926,AWS Certified,"English, Spanish",Onsite,7,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,4,Low,91217,Microsoft Azure,"English, Spanish",Onsite,11,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,2,High,81825,DataCamp Track,"English, French",Remote,6,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,5,Medium,74044,Certified UX Designer,English,Hybrid,2,3
